prediction	reference
it sjocht dêr in bytsje stil út	It sjocht der in bytsje stil út.
yn e fierte seagen wy it pears fan de heide	Yn 'e fierte seagen wy it pears fan 'e heide.
sy litte de bern foar wyld omrinne	Sy litte de bern foar wyld omrinne.
sy litte de bern foar wyld omrinne	Sy litte de bern foar wyld omrinne.
hy brocht syn dochter nei de snein skoalle	Hy brocht syn dochter nei de sneinsskoalle.
hy rekket him ryk en teldt him earm	Hy rekkent him ryk en telt him earm.
goeenmoarn allegear	Goemoarn allegear.
tsje giet de hurde konfrontaasje net út de wei	Sy giet de hurde konfrontaasje net út 'e wei.
ik ken him fan de inkelde kearen dat we eefkes meiinoar praten	Ik ken him fan de inkelde kearen dat we efkes mei-inoar praten.
ik ken him fan de inkelde kearen dat we efkes meiinoar praten	Ik ken him fan de inkelde kearen dat we efkes mei-inoar praten.
hy hat it gefoel allinne op de wrâld te stean	Hy hat it gefoel allinne op de wrâld te stean.
selektearje it foarige	Selektearje it foarige.
ik bin bang dat ik raa jen spûne hie	Ik bin bang dat it raar jern spûn hie.
as it reint bliauw ik thús	As it reint, bliuw ik thús.
goud wurdt al sûnt de twadde iuw fan ús iertelling ferwurke yn trouringen	Goud wurdt al sûnt de twadde iuw fan ús jiertelling ferwurke yn trouringen.
hingje op	Hingje op.
neij swiere training ha ik gjin seoan iten en wurk mislik	Nei in swiere training ha ik gjin sin oan iten en wurd ik mislik.
it hat ús hjier tige goed foldien en wy komme wis noch ris werom	It hat ús hjir tige goed foldien en wy komme wis noch ris werom.
de sporter set de trop en hie efterôf al hiel gjin spyt	De sporter sette troch en hie efterôf alhiel gjin spyt.
de tredde tiisdei yn septimber presintearret it regear de miljoene no ta en de ryksbegrutting	De tredde tiisdeis yn septimber presintearret it regear de miljoenenota en de ryksbegrutting.
bestân iepenje	Bestân iepenje.
wy knipperje middeis heel even want de ertlek slacht sûnder genade ta	Wy knipperje middeis heel even want de jetlag slacht sonder genede ta.
alle jierren jout it koar in tal goed besochte konserten jj	Alle jierren jout it koar in tal goed besochte konserten.
wy fielt him net by machte om e tei te kearen	Hy fielde him net by machte om it tij te kearen.
measken kamen wy drintebey hjir te weijen	Minsken kamen út Drinte wei hjir te wenjen.
ik bin berne yn it hielal yn it ein leaze fan tiid en rûmte nnnn	Ik bin berne yn it Hielal, yn it einleaze fan tiid en rûmte.
foar in soad lytse boeren yn de ûntwikelingslannen is biolânbou wie er wol in alternatyf	Foar in soad lytse boeren yn de ûntwikkelingslannen is biolânbou wier wol in alternatyf.
it is it maaiste kado dat hja him jaan kin	It is it moaiste kado dat hja him jaan kin.
stjoer anzulike in boadskip wat tinkt dy fan fan e jûn	Stjoer Angelique in boadskip: Wat tinkt dy fan fan 'e jûn?
it offisjele stadskot foar de ferbouwing waard moandeitemoarnjûn	It offisjele startskot foar de ferbouwing waard moandeitemoarn jûn.
oanselarisdiskriminaasje fan froulju moat in einmakke wurdde	Oan salarisdiskriminaasje fan froulju moat in ein makke wurde.
neffens him is nederlân te lyts foar ditsoarte fan inisjativen	Neffens him is Nederlân te lyts foar dit soarte fan inisjativen.
ik fiel mear foar in fakânsje oan see	Ik fiel mear foar in fakânsje oan see.
miskin wachte tilly op in wurd of teken fan dy om frede te sluten	Miskien wachtet Tilly op in wurd of teken fan dy om frede te sluten.
dy plannen rûne speak troch politike en technyske swierchheden	Dy plannen rûnen speak troch politike en technyske swierrichheden.
as ik jild hie soe ik it keapje kinne	As ik jild hie, soe ik it keapje kinne.
hy besiket om troch it rút te klimmen	Hy besiket om troch it rút te klimmen.
de tongersdeitenachts begûn it te reinen en dat hold op freedtemiddeis pas op	De tongersdeitenachts begûn it te reinen en dat hold op freedtemiddei pas op.
foar in geraasje stie in man yn in overal de hannen swart	Foar in garaazje stie in man yn in overal, de hannen swart.
it medisyn is djoer en moat frijlang ynnommen wurde wol it effektyf wêze	It medisyn is djoer en moat frij lang ynnommen wurde, wol it effektyf wêze.
de kuio sil duorje oant likernôch fjouwer oegen	De kuier sil duorje oant likernôch fjouwer oere.
de fertochte is ferheard en wer op frije fuotten steld	De fertochte is ferheard en wer op frije fuotten steld.
de opbringsten wiene yn in pear gefallen wol twa kear sa heech	De opbringsten wiene yn in pear gefallen wol twa kear sa heech.
hoe moatte wy de ekonomyske krisis de holle biede	Hoe moatte wy de ekonomyske krisis de holle biede?
in foarby gonger seach de man op strjitte lizzen en warskôge de helptsjinsten	In foarbygonger seach de man op strjitte lizzen en warskôge de helptsjinsten.
op e nacht foel der in tsjokpak snie dat dagen lizzen bleau	Op in nacht foel der in tsjok pak snie dat dagen lizzen bleau.
by ús snijt it yn jannewaris	By ús snijt it yn jannewaris.
ik bin no mei folslein oare dingen dwaande	Ik bin no mei folslein oare dingen dwaande.
do bist sa wyt as in lyk	Do bist sa wyt as in lyk.
dat hinget ôf fan de kontekst	Dat hinget ôf fan de kontekst.
ik soe graach oanjefte dwaan wolle fan stellerij	Ik soe graach oanjefte dwaan wolle fan stellerij.
wy moatte noch eefkes geduld dwaan want wy kinne dêr earst oare moanne it rjochte	Wy moatte noch eefkes geduld dwaan, want we kinne dêr earst oare moanne terjochte.
de grûn is al fjouwer generaasjes yn hannen fan de famylje nn	De grûn is al fjouwer generaasjes yn hannen fan de famylje.
ik wol tsien jier hurd wurkje en jild fertsjinje en dan op wrâldreis gean   p	Ik wol tsien jier hurd wurkje en jild fertsjinje en dan op wrâldreis gean.
ik ha dochs noch fjouwer en in heal oer ûnderweis west	Ik ha dochs noch fjouwer en in heal oere ûnderweis west.
soenen jo efkes nei myn skonk sjen kinne	Soenen jo efkes nei myn skonk sjen kinne?
kinst de auto hjir nearne kwyt	Kinst de auto hjir nearne kwyt.
soe ik it truwerzje kinne	Soe ik it ruilje kinne?
wy sille de kant nei flylân nút	Wy sile de kant nei Flylân út.
hy gie fuortdaliks syn berop en dêrnei sil er yn kassaasje gean	Hy gie fuortdaliks yn berop en dêrnei sil er yn kassaasje gean.
ik hjit fan henk	Ik hjit fan Henk.
tongersdeitenacht wie er ek al oanholden foar it reden ûnder ynfloed s	Tongersdeitenacht wie er ek al oanholden foar it riden ûnder ynfloed.
gean nei postfek yn	Gean nei Postfek Yn.
hja hie der al lang wêsze moatten	Hja hie der al lang wer wêze moatten.
it boek tilt op fan opfierdkunde en deugsumens kkk	It boek tilt op fan opfiedkunde en deugdsumens.
hjir arbeide men fan heit op soan yn it stjengat	Hjir arbeide men fan heit op soan yn it stiengat.
hoefolle wetter kin it gers op e dyk oan	Hoefolle wetter kin it gers op de dyk oan?
de swipe dêr binne se al in bytsje bang faln	De swipe, dêr binne se al in bytsje bang fan.
ik fiel my net hielendal lûndert presint jûn	Ik fiel my net hielendal hûndert persint jûn.
de ynterfjoer moat trochfreegje om efter de miening fan de respondint te kommen	De ynterviewer moat trochfreegje om efter de miening fan de respondint te kommen.
ik wit net hoe yngewikkeld it is	Ik wit net hoe yngewikkeld it is.
hy hat it gefoel allinne op de wrâld te stean	Hy hat it gefoel allinne op de wrâld te stean.
dêr stie ik dan yn myn wiedte nachtlean en op blead fjotten	Dêr stie ik dan yn myn wite nachtklean en op bleate fuotten.
hy ferwachtet dat de supermerk yn janniwaarje gewoan iepen bliuwt	Hy ferwachtet dat de supermerk yn jannewaarje gewoan iepenbliuwt.
feroardielje jime my mar mar ik ferflok jim allegearre	Feroardielje jimme my mar, mar ik ferflok jimme allegearre.
wêr is de trep	Wêr is de trep?
se ha it makke te krigen	Se ha it makliker krigen.
nei fjouwer oere nachts mei e de gjin minsken mear ynlitten wurde	Nei fjouwer oere nachts meie der gjin minsken mear yn litten wurde.
ik dûelit folmakket yn lûn oef swerpe boft	It dûbelde spoar makke ynienen in skerpe bocht.
hy rint op de skokken him yn de knoop sitten	Hy rint oft de skonken him yn 'e knoop sitte.
wat trappearre wurdt kin rekkenje op in hege boete	Wa't trappearre wurdt, kin rekkenje op in hege boete.
hy skotholle by it hearen fan al dy ûnsing	Hy skodholle by it hearren fan al dy ûnsin.
yn de moderne maatskippij fynt in konsintraasjeplak fan bedriuwen	Yn de moderne maatskippij fynt in konsintraasje plak fan bedriuwen.
ik bin syn adres kwyt mar ik wit dat der hjir earne wenje moat	Ik bin syn adres kwyt, mar ik wit dat er hjirearne wenje moat.
hy hat dizze simmer iepene besikerssintrum mei oprjochte	Hy hat it dizze simmer iepene besikerssintrum mei oprjochte.
ik haw oer twaje jier myn diplo mar frysk	Ik ha oer twa jier myn diploma Frysk.
sa ticht ha ik der noch mea by stean	Sa ticht ha ik der noch nea by stien.
nei oanhâolden de warskouweren ward him te wacht oansein	Nei oanhâldende warskôgingen waard him de wacht oansein.
ha jo in twapersoanskeamerfrij foar oare wike tongersdei en freed	Ha jo in twapersoans keamer frij foar oare wike tongersdei en freed?
ofrûne saterdeitemoarn waard op flylân in oere lang trochinoar wynkrêft njoggen metten	Ofrûne saterdeitemoarn waard op Flylân in oere lang trochinoar wynkrêft njoggen metten.
dat is wol sa moai dat sjogge je nea moaier	Dat is wol sa moai, dat sjogge je nea moaier!
ofrûne sneontemiddei hat in grut part fan it doarp in skoftlang sonder stroom sitten	Ofrûne sneontemiddei hat in grut part fan it doarp in skoftlang sonder stroom sitten.
men kin dizze plant sonder swierrichheden yn e tún kweke	Men kin dizze plant sonder swierrichheden yn 'e tún kweke.
doe hiest al in geweldige kondysje	Doe hiest al in geweldige kondysje.
ik begryp it eins net sa goed	Ik begryp it eins net sa goed.
as je belizze wolle motte je wat oarskeapje as keunst	As je belizze wolle, moatte je wat oars keapje as keunst.
de trije dielen binne útjûn troch de fryske akademy	De trije dielen binne útjûn troch de Fryske Akademy.
jiastejûn haw werde bern in jûnsskuier makke yn e tsjuster	Justerjûn hawwe de bern in jûnskuier makke yn it tsjuster.
gean nei skeadnis	Gean nei skiednis.
ik kin dy hiele man net	Ik ken dy hiele man net.
hja libbe yn in oare wrjald regearre troch eachtinken inkst en heard	Hja libbe yn in oare wrâld, regearre troch erchtinken, eangst en haat.
der kin wat oerlest wêze fanwege de bouaktiviteiten	Der kin wat oerlêst wêze fanwege de bouaktiviteiten.
jou yn it ingelsk antwurd op de folgjende fragen	Jou yn it Ingelsk antwurd op de folgjende fragen.
de webside wie in oere net te berikken	De webside wie in oere net te berikken.
der nûmers alv en tolve degradearje streekrjocht nei de oergongsklasse	De nûmers alve en tolve degradearje streekrjocht nei de oergongsklasse.
blêdzje troch map	Blêdzje troch map.
ik hâld fan dy	Ik hâld fan dy.
ynienen knetteret der in berjocht út de lûdsprekker fan de mobilo foan	Ynienen knetteret der in berjocht út de lûdsprekker fan de mobilofoan.
ik bin tige sfeargefoelich en fiel heel gau oft der wat te rêden is	Ik bin tige sfeargefoelich en fiel heel gau oft der wat te rêden is.
